id,arquivo,linha,funcao,camada,feature,moderno_ou_legado,opcoes_diretas,opcoes_mapeadas,compartilhada,chamadas_detectadas_qtd
src/features/atividades/sei-pro-atividades.js:17574:getFilterGanttTag,src/features/atividades/sei-pro-atividades.js,17574,getFilterGanttTag,feature,atividades,moderno,,,não,4
src/features/atividades/sei-pro-atividades.js:17586:setFilterGanttTag,src/features/atividades/sei-pro-atividades.js,17586,setFilterGanttTag,feature,atividades,moderno,,,não,6
src/features/atividades/sei-pro-atividades.js:17608:getChartAtividades,src/features/atividades/sei-pro-atividades.js,17608,getChartAtividades,feature,atividades,moderno,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,8
src/features/atividades/sei-pro-atividades.js:17622:initGetChartDemandas,src/features/atividades/sei-pro-atividades.js,17622,initGetChartDemandas,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,6
src/features/atividades/sei-pro-atividades.js:17638:setTimeout,src/features/atividades/sei-pro-atividades.js,17638,setTimeout,feature,atividades,moderno,debugpage,debugpage,não,3
src/features/atividades/sei-pro-atividades.js:17644:initToolbarFunc,src/features/atividades/sei-pro-atividades.js,17644,initToolbarFunc,feature,atividades,moderno,,,não,2
src/features/atividades/sei-pro-atividades.js:17650:setTimeout,src/features/atividades/sei-pro-atividades.js,17650,setTimeout,feature,atividades,moderno,debugpage,debugpage,não,3
src/features/atividades/sei-pro-atividades.js:17656:setToolbarFunc,src/features/atividades/sei-pro-atividades.js,17656,setToolbarFunc,feature,atividades,moderno,,,não,7
src/features/atividades/sei-pro-atividades.js:17674:setTimeout,src/features/atividades/sei-pro-atividades.js,17674,setTimeout,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos;notificacaonovoprocesso,sim,32
src/features/atividades/sei-pro-atividades.js:17774:initFunctionsPanelAtiv,src/features/atividades/sei-pro-atividades.js,17774,initFunctionsPanelAtiv,feature,atividades,moderno,,,não,3
src/features/atividades/sei-pro-atividades.js:17788:getFilterTableAtiv,src/features/atividades/sei-pro-atividades.js,17788,getFilterTableAtiv,feature,atividades,moderno,,,não,19
src/features/atividades/sei-pro-atividades.js:17870:setTimeout,src/features/atividades/sei-pro-atividades.js,17870,setTimeout,feature,atividades,moderno,,notificacaonovoprocesso,não,26
src/features/atividades/sei-pro-atividades.js:17945:setTimeout,src/features/atividades/sei-pro-atividades.js,17945,setTimeout,feature,atividades,moderno,,,não,5
src/features/atividades/sei-pro-atividades.js:17950:setTimeout,src/features/atividades/sei-pro-atividades.js,17950,setTimeout,feature,atividades,moderno,,,não,20
src/features/atividades/sei-pro-atividades.js:17996:setTimeout,src/features/atividades/sei-pro-atividades.js,17996,setTimeout,feature,atividades,moderno,,,não,9
src/features/atividades/sei-pro-atividades.js:18020:setTimeout,src/features/atividades/sei-pro-atividades.js,18020,setTimeout,feature,atividades,moderno,debugpage,debugpage,não,3
src/features/atividades/sei-pro-atividades.js:18026:changeReportPrograma,src/features/atividades/sei-pro-atividades.js,18026,changeReportPrograma,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;notificacaonovoprocesso;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,10
src/features/atividades/sei-pro-atividades.js:18043:getAtividadeTagsPro,src/features/atividades/sei-pro-atividades.js,18043,getAtividadeTagsPro,feature,atividades,moderno,,,não,2
src/features/atividades/sei-pro-atividades.js:18063:checkPermissionAtiv,src/features/atividades/sei-pro-atividades.js,18063,checkPermissionAtiv,feature,atividades,moderno,,,não,3
src/features/atividades/sei-pro-atividades.js:18066:checkPermissionAfast,src/features/atividades/sei-pro-atividades.js,18066,checkPermissionAfast,feature,atividades,moderno,,,não,3
src/features/atividades/sei-pro-atividades.js:18070:saveAtividadeSimple,src/features/atividades/sei-pro-atividades.js,18070,saveAtividadeSimple,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;notificacaonovoprocesso;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,50
src/features/atividades/sei-pro-atividades.js:18498:setTimeout,src/features/atividades/sei-pro-atividades.js,18498,setTimeout,feature,atividades,moderno,,notificacaonovoprocesso,não,15
src/features/atividades/sei-pro-atividades.js:18537:deleteAtividade_,src/features/atividades/sei-pro-atividades.js,18537,deleteAtividade_,feature,atividades,moderno,,,não,0
src/features/atividades/sei-pro-atividades.js:18539:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,18539,confirmaFraseBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,1
src/features/atividades/sei-pro-atividades.js:18541:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,18541,confirmaFraseBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,1
src/features/atividades/sei-pro-atividades.js:18543:confirmaBoxPro,src/features/atividades/sei-pro-atividades.js,18543,confirmaBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,1
src/features/atividades/sei-pro-atividades.js:18546:sendCancelAtividadeReport,src/features/atividades/sei-pro-atividades.js,18546,sendCancelAtividadeReport,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,4
src/features/atividades/sei-pro-atividades.js:18554:recoveryDemanda,src/features/atividades/sei-pro-atividades.js,18554,recoveryDemanda,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,4
src/features/atividades/sei-pro-atividades.js:18568:changeSaveAtividade,src/features/atividades/sei-pro-atividades.js,18568,changeSaveAtividade,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,5
src/features/atividades/sei-pro-atividades.js:18582:setTimeout,src/features/atividades/sei-pro-atividades.js,18582,setTimeout,feature,atividades,moderno,,,não,2
src/features/atividades/sei-pro-atividades.js:18590:checkMaxDateAvaliacao,src/features/atividades/sei-pro-atividades.js,18590,checkMaxDateAvaliacao,feature,atividades,moderno,,notificacaonovoprocesso,não,7
src/features/atividades/sei-pro-atividades.js:18596:saveAtividade,src/features/atividades/sei-pro-atividades.js,18596,saveAtividade,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,15
src/features/atividades/sei-pro-atividades.js:18649:selectDemanadasPendentesAvaliacao,src/features/atividades/sei-pro-atividades.js,18649,selectDemanadasPendentesAvaliacao,feature,atividades,moderno,,notificacaonovoprocesso,não,8
src/features/atividades/sei-pro-atividades.js:18662:saveAtividadeFull,src/features/atividades/sei-pro-atividades.js,18662,saveAtividadeFull,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;notificacaonovoprocesso;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,64
src/features/atividades/sei-pro-atividades.js:19267:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,19267,confirmaFraseBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,1
src/features/atividades/sei-pro-atividades.js:19269:confirmaFraseBoxPro,src/features/atividades/sei-pro-atividades.js,19269,confirmaFraseBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,1
src/features/atividades/sei-pro-atividades.js:19271:confirmaBoxPro,src/features/atividades/sei-pro-atividades.js,19271,confirmaBoxPro,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,12
src/features/atividades/sei-pro-atividades.js:19320:setTimeout,src/features/atividades/sei-pro-atividades.js,19320,setTimeout,feature,atividades,moderno,,notificacaonovoprocesso,não,17
src/features/atividades/sei-pro-atividades.js:19380:saveAtividadeQuick,src/features/atividades/sei-pro-atividades.js,19380,saveAtividadeQuick,feature,atividades,moderno,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;notificacaonovoprocesso;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,56
src/features/atividades/sei-pro-atividades.js:19659:repairTemposDemandaQuick,src/features/atividades/sei-pro-atividades.js,19659,repairTemposDemandaQuick,feature,atividades,moderno,,gerenciarprescricoes;gerenciarprojetos,sim,9
src/features/atividades/sei-pro-atividades.js:19683:checkTagsIput,src/features/atividades/sei-pro-atividades.js,19683,checkTagsIput,feature,atividades,moderno,,,não,7
src/features/atividades/sei-pro-atividades.js:19711:setTimeout,src/features/atividades/sei-pro-atividades.js,19711,setTimeout,feature,atividades,moderno,debugpage,debugpage,não,3
src/features/atividades/sei-pro-atividades.js:19717:prepareFieldsReplace,src/features/atividades/sei-pro-atividades.js,19717,prepareFieldsReplace,feature,atividades,moderno,,,não,3
src/features/atividades/sei-pro-atividades.js:19723:calculoRecorrenciaAtiv,src/features/atividades/sei-pro-atividades.js,19723,calculoRecorrenciaAtiv,feature,atividades,moderno,,agruparlista;atalhopublicacoeseletronicas;autopreenchersenha;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;contadoricone;coresmarcadores;debugpage;disablequery;ditado;editarimagens;editarlinks;escrivainterativa;especificaprocesso;ferramentasia;filtrarpaginapelapesquisarapida;filtroporatribuicao;gerenciaratividades;gerenciarformularios;gerenciarmonitorados;gerenciarprazos;gerenciarprescricoes;gerenciarprojetos;infoarvore;marcar_naolido;menususpenso;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;newdoctoday;newproc_selfunidade;nomesusuarios;ocultarpaginacaosuperior;ordernartabela;qualidadeimagens;removepaginacao;resizearvore;revisaotexto;rolageminfinita;salvamentoautomatico;sincronizarprocessos;substituiselecao;uploaddocsexternos;urlamigavel,sim,3
src/features/atividades/sei-pro-atividades.js:19729:initCalculoRecorrenciaAtiv,src/features/atividades/sei-pro-atividades.js,19729,initCalculoRecorrenciaAtiv,feature,atividades,moderno,,,não,2
src/features/atividades/sei-pro-atividades.js:19735:setTimeout,src/features/atividades/sei-pro-atividades.js,19735,setTimeout,feature,atividades,moderno,debugpage,debugpage,não,3
src/features/atividades/sei-pro-atividades.js:19741:calculoRecorrenciaAtiv_,src/features/atividades/sei-pro-atividades.js,19741,calculoRecorrenciaAtiv_,feature,atividades,moderno,,notificacaonovoprocesso,não,19
src/features/atividades/sei-pro-atividades.js:19815:getDateAddWeekdaysFromSet,src/features/atividades/sei-pro-atividades.js,19815,getDateAddWeekdaysFromSet,feature,atividades,moderno,,,não,16
src/features/atividades/sei-pro-atividades.js:19862:setTimeout,src/features/atividades/sei-pro-atividades.js,19862,setTimeout,feature,atividades,moderno,,,não,1
src/features/atividades/sei-pro-atividades.js:19864:setTimeout,src/features/atividades/sei-pro-atividades.js,19864,setTimeout,feature,atividades,moderno,,,não,30
src/features/atividades/sei-pro-atividades.js:19969:getRecorrenciaAtiv,src/features/atividades/sei-pro-atividades.js,19969,getRecorrenciaAtiv,feature,atividades,moderno,,notificacaonovoprocesso,não,13
src/features/atividades/sei-pro-atividades.js:20009:nextWorkDay,src/features/atividades/sei-pro-atividades.js,20009,nextWorkDay,feature,atividades,moderno,,,não,4
src/features/atividades/sei-pro-atividades.js:20017:changeModoRecorrenciaFields,src/features/atividades/sei-pro-atividades.js,20017,changeModoRecorrenciaFields,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,7
src/features/atividades/sei-pro-atividades.js:20040:addAtividadesAlertModeMult,src/features/atividades/sei-pro-atividades.js,20040,addAtividadesAlertModeMult,feature,atividades,moderno,,notificacaonovoprocesso,não,5
src/features/atividades/sei-pro-atividades.js:20051:changeModeDistribuicao,src/features/atividades/sei-pro-atividades.js,20051,changeModeDistribuicao,feature,atividades,moderno,,,não,7
src/features/atividades/sei-pro-atividades.js:20060:setTimeout,src/features/atividades/sei-pro-atividades.js,20060,setTimeout,feature,atividades,moderno,,agruparlista;certidaosigilo;certidaosigilo_nomedoc;citacaodoc;combinacaoteclas;debugpage;editarimagens;ferramentasia;filtroporatribuicao;gerenciaratividades;gerenciarmonitorados;gerenciarprazos;gerenciarprojetos;marcar_naolido;mostraranotacaocontrole;newdocdefault;newdocespec;newdocformat;newdocname;newdocnivel;newdocobs;newdocsigilo;qualidadeimagens;removepaginacao;salvamentoautomatico;substituiselecao;uploaddocsexternos,sim,14
